status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,days_since_start,Cluster
photo,2018-04-21 22:45:00,150.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,2106.0,0
photo,2018-04-21 02:29:00,111.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,2105.0,0
photo,2018-04-18 03:22:00,213.0,0.0,0.0,204.0,9.0,0.0,0.0,0.0,0.0,2103.0,0
photo,2018-04-18 02:14:00,217.0,6.0,0.0,211.0,5.0,1.0,0.0,0.0,0.0,2102.0,0
video,2018-04-17 07:42:00,295.0,453.0,53.0,260.0,32.0,1.0,1.0,0.0,1.0,2102.0,2
photo,2018-04-17 03:33:00,203.0,1.0,0.0,198.0,5.0,0.0,0.0,0.0,0.0,2102.0,0
photo,2018-04-11 04:53:00,170.0,9.0,1.0,167.0,3.0,0.0,0.0,0.0,0.0,2096.0,0
photo,2018-04-10 01:01:00,210.0,2.0,3.0,202.0,7.0,1.0,0.0,0.0,0.0,2094.0,0
photo,2018-04-09 02:06:00,222.0,4.0,0.0,213.0,5.0,4.0,0.0,0.0,0.0,2093.0,0
photo,2018-04-08 05:10:00,313.0,4.0,2.0,305.0,6.0,1.9999999999999998,0.0,0.0,0.0,2093.0,0
photo,2018-04-08 02:23:00,209.0,4.0,0.0,200.0,8.0,1.0,0.0,0.0,0.0,2092.0,0
photo,2018-04-05 09:23:00,346.0,11.0,0.0,335.0,10.0,1.0,0.0,0.0,0.0,2090.0,0
video,2018-04-01 05:16:00,332.0,100.0,30.0,303.0,23.0,1.0,5.0,0.0,0.0,2086.0,1
video,2018-03-26 08:28:00,150.0,173.0,47.0,132.0,16.0,1.0,0.0,1.0,0.0,2080.0,2
video,2018-03-23 07:09:00,221.0,166.0,36.0,192.0,28.0,0.0,1.0,0.0,0.0,2077.0,2
photo,2018-03-22 01:25:00,152.0,2.0,0.0,149.0,3.0,0.0,0.0,0.0,0.0,2075.0,0
photo,2018-03-21 08:40:00,234.0,15.0,1.0,221.0,12.0,1.0,0.0,0.0,0.0,2075.0,0
photo,2018-03-21 07:46:00,227.0,7.0,1.0,217.0,7.0,1.9999999999999998,1.0,0.0,0.0,2075.0,0
photo,2018-03-20 01:54:00,98.0,0.0,0.0,96.0,0.0,1.9999999999999998,0.0,0.0,0.0,2073.0,0
video,2018-03-20 01:28:00,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2073.0,0
photo,2018-03-20 00:15:00,102.0,0.0,0.0,100.0,0.0,1.9999999999999998,0.0,0.0,0.0,2073.0,0
video,2018-03-19 22:34:00,37.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,2073.0,0
video,2018-03-17 08:07:00,75.0,36.0,14.0,70.00000000000001,5.0,0.0,0.0,0.0,0.0,2071.0,1
video,2018-03-17 07:47:00,90.0,78.0,9.0,85.0,5.0,0.0,0.0,0.0,0.0,2071.0,1
photo,2018-03-12 05:51:00,145.0,9.0,0.0,138.0,7.0,0.0,0.0,0.0,0.0,2066.0,0
video,2018-03-09 07:45:00,253.0,300.0,31.0,229.0,22.0,1.0,1.0,0.0,0.0,2063.0,2
photo,2018-03-09 05:55:00,85.0,0.0,0.0,81.00000000000001,2.0,1.9999999999999998,0.0,0.0,0.0,2063.0,0
video,2018-03-07 13:10:00,45.0,14.0,0.0,40.0,5.0,0.0,0.0,0.0,0.0,2061.0,0
photo,2018-03-07 06:13:00,92.0,0.0,0.0,85.0,4.0,1.9999999999999998,1.0,0.0,0.0,2061.0,0
photo,2018-03-07 04:46:00,125.0,1.0,0.0,116.0,8.0,1.0,0.0,0.0,0.0,2061.0,0
photo,2018-03-05 08:32:00,119.0,4.0,0.0,116.0,3.0,0.0,0.0,0.0,0.0,2059.0,0
photo,2018-03-05 02:48:00,293.0,8.0,0.0,281.0,11.0,1.0,0.0,0.0,0.0,2058.0,0
video,2018-03-02 09:55:00,128.0,137.0,26.0,110.0,16.0,1.9999999999999998,0.0,0.0,0.0,2056.0,1
photo,2018-02-28 08:19:00,83.99999999999999,15.0,13.0,77.99999999999999,5.0,1.0,0.0,0.0,0.0,2054.0,0
photo,2018-02-28 01:43:00,66.00000000000001,11.0,6.0,61.0,4.0,1.0,0.0,0.0,0.0,2053.0,0
video,2018-02-26 08:50:00,171.0,292.0,28.0,150.0,19.0,1.0,1.0,0.0,0.0,2052.0,2
video,2018-02-25 10:13:00,90.0,72.0,23.0,79.0,10.0,1.0,0.0,0.0,0.0,2051.0,1
video,2018-02-21 00:19:00,139.0,39.0,9.0,121.0,16.0,1.0,1.0,0.0,0.0,2046.0,1
video,2018-02-19 00:11:00,236.0,181.0,21.0,201.0,33.0,0.0,1.0,0.0,1.0,2044.0,2
video,2018-02-18 07:15:00,225.0,210.0,34.0,193.0,30.0,0.0,2.0,0.0,0.0,2044.0,2
photo,2018-02-17 22:30:00,275.0,12.0,0.0,260.0,11.0,4.0,0.0,0.0,0.0,2043.0,0
video,2018-02-17 04:15:00,372.0,455.99999999999994,37.0,334.0,31.0,1.0,1.0,1.0,4.000000000000001,2043.0,2
photo,2018-02-15 03:47:00,445.0,9.0,0.0,419.0,23.0,3.0,0.0,0.0,0.0,2041.0,1
video,2018-02-14 08:23:00,128.0,60.0,11.0,114.0,13.0,0.0,0.0,0.0,1.0,2040.0,1
video,2018-02-13 01:16:00,186.0,235.00000000000003,46.0,163.0,19.0,0.0,3.0,0.0,1.0,2038.0,2
video,2018-02-12 03:28:00,309.0,444.0,36.0,254.0,42.0,1.9999999999999998,7.999999999999999,2.9999999999999996,0.0,2038.0,2
photo,2018-02-11 05:55:00,77.0,11.0,3.0,75.0,2.0,0.0,0.0,0.0,0.0,2037.0,0
video,2018-02-10 07:54:00,119.0,72.0,28.0,103.0,16.0,0.0,0.0,0.0,0.0,2036.0,1
photo,2018-02-09 01:48:00,100.0,21.0,13.0,95.0,5.0,0.0,0.0,0.0,0.0,2034.0,1
video,2018-02-07 08:35:00,164.0,136.0,48.0,146.0,15.0,1.9999999999999998,0.0,1.0,0.0,2033.0,2
video,2018-02-06 08:46:00,202.0,327.0,42.0,171.0,30.0,1.0,0.0,0.0,0.0,2032.0,2
video,2018-02-05 09:20:00,211.0,284.0,46.0,186.0,25.0,0.0,0.0,0.0,0.0,2031.0,2
video,2018-02-04 03:25:00,148.0,114.0,16.0,136.0,10.0,0.0,2.0,0.0,0.0,2030.0,1
video,2018-02-03 08:34:00,97.0,81.0,16.0,84.0,13.0,0.0,0.0,0.0,0.0,2029.0,1
video,2018-02-02 09:24:00,279.0,292.0,34.0,254.0,20.0,3.0,1.0,1.0,0.0,2028.0,2
photo,2018-02-02 07:08:00,263.0,8.0,0.0,245.0,14.0,4.0,0.0,0.0,0.0,2028.0,0
video,2018-02-02 06:01:00,177.0,193.0,34.0,151.0,25.0,1.0,0.0,0.0,0.0,2028.0,2
photo,2018-01-28 07:50:00,517.0,32.0,1.0,484.0,26.0,7.0,0.0,0.0,0.0,2023.0,1
video,2018-01-28 05:25:00,289.0,258.0,33.0,256.0,33.0,0.0,0.0,0.0,0.0,2023.0,2
photo,2018-01-26 13:03:00,66.00000000000001,13.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,2021.0,0
photo,2018-01-26 13:02:00,112.0,6.0,0.0,104.0,8.0,0.0,0.0,0.0,0.0,2021.0,0
video,2018-01-26 08:47:00,206.0,259.00000000000006,48.0,181.0,22.0,1.0,2.0,0.0,0.0,2021.0,2
video,2018-01-23 09:04:00,184.0,130.0,51.0,161.0,23.0,0.0,0.0,0.0,0.0,2018.0,2
video,2018-01-22 09:37:00,216.0,251.0,34.0,199.0,16.0,0.0,0.0,0.0,1.0,2017.0,2
video,2018-01-22 09:15:00,57.0,0.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,2017.0,0
video,2018-01-21 09:10:00,272.0,258.0,43.0,226.0,44.0,1.0,1.0,0.0,0.0,2016.0,2
video,2018-01-20 23:10:00,248.0,247.0,34.0,208.0,33.0,3.0,2.0,0.0,2.0,2015.0,2
video,2018-01-20 09:08:00,132.0,89.0,40.0,110.0,20.0,1.0,0.0,0.0,1.0,2015.0,2
video,2018-01-19 09:16:00,226.0,341.0,41.0,196.0,30.0,0.0,0.0,0.0,0.0,2014.0,2
video,2018-01-19 09:06:00,35.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2014.0,0
video,2018-01-18 08:54:00,219.0,316.0,36.0,170.0,46.0,3.0,0.0,0.0,0.0,2013.0,2
video,2018-01-18 05:08:00,94.0,1.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,2013.0,0
video,2018-01-17 09:29:00,259.0,368.0,50.0,234.0,25.0,0.0,0.0,0.0,0.0,2012.0,2
video,2018-01-16 22:36:00,62.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,2011.0,0
video,2018-01-16 22:13:00,127.0,76.0,21.0,114.0,13.0,0.0,0.0,0.0,0.0,2011.0,1
video,2018-01-16 00:53:00,149.0,63.0,15.0,134.0,15.0,0.0,0.0,0.0,0.0,2010.0,1
video,2018-01-13 09:18:00,134.0,171.0,41.0,116.0,18.0,0.0,0.0,0.0,0.0,2008.0,2
video,2018-01-11 09:05:00,392.0,461.00000000000006,47.0,360.0,32.0,0.0,0.0,0.0,0.0,2006.0,2
video,2018-01-10 08:57:00,310.0,540.0,41.0,284.0,26.0,0.0,0.0,0.0,0.0,2005.0,2
photo,2018-01-02 23:05:00,14.0,3.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,1997.0,0
photo,2017-12-26 06:23:00,293.0,6.0,1.0,275.0,15.0,3.0,0.0,0.0,0.0,1990.0,1
photo,2017-12-24 10:28:00,236.0,12.0,0.0,226.0,8.0,1.0,1.0,0.0,0.0,1988.0,0
photo,2017-12-21 08:14:00,312.0,9.999999999999998,0.0,291.0,18.0,3.0,0.0,0.0,0.0,1985.0,1
photo,2017-12-10 23:28:00,24.0,12.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1974.0,0
link,2017-12-08 02:37:00,16.0,9.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,1971.0,0
photo,2017-12-07 06:41:00,33.0,12.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,1971.0,0
